a 어
caralis 카랄리스
caramel 캐러멜
carat 캐럿
caravaggio 카라바조
caraway 캐러웨이
carazo 카라소
carbaminohemoglobin 카르바미노헤모글로빈
carbazole 카르바졸
carbene 카르벤
carbide 카바이드
carbinol 카르비놀
carbocyanine 카르보시아닌
carboloy 카볼로이
carbomycin 카보마이신
carbon 카본
carbonado 카보나도
carbonatite 카보나타이트
carbondale 카번데일
carbondale 카본데일
carbonite 카보나이트
carbonton 카본턴
carbonyl 카르보닐
carborane 카르보란
carborundum 카보런덤
carboxyhemoglobin 카르복시헤모글로빈
carboxylase 카르복실라아제
carboxylhemoglobine 카르복실헤모글로빈
carboxypeptidase 카르복시펩티다아제
carboy 카보이
carburetor 카뷰레터
carbylamine 카르빌아민
carcel 카셀
carchemish 카르케미시
carcinoid 카르시노이드
carco 카르코
card 카드
cardano 카르다노
cardenas 카디너스
cardiazol 카르디아졸
cardiff 카디프
cardigan 가디건
cardigan 카디건
cardioid 카디오이드
cardonia 카도니아
carducci 카르두치
cardwell 카드웰
care 케어
career 커리어
carefree 케어프리
careless 케얼레스
carell 커렐
caress 카리스
caret 캐럿
caretta 카레타
carey 캐리
carey 케리
caribbean 카리브
caribou 카리부
caribou 캐러부
caricature 캐리커처
caricom 카리콤
cario 카이로
carisbrook 캐리스브룩
carissimi 카리시미
carl 카를
carl 칼
carli 칼리
carlinville 칼린빌
carlisle 칼라일
carlo 칼로
carlock 칼록
carlos 카를로스
carlos 칼로스
carlotta 캘로타
carlsbad 칼스배드
carlsbad 칼즈배드
carlton 칼턴
carly 칼리
carlyle 칼라일
carmana 카르마나
carmarthen 카마던
carmel 카르멜
carmel 카멀
carmel 카멜
carmelita 카멀리타
carmen 카르멘
carmen 카먼
carmet 카멧
carmi 카미
carmichael 카마이클
carmine 카마인
carmine 카민
carmody 카모디
carmona 카모나
carnarvon 카나번
carnation 카네이션
carneades 카르네아데스
carnegie 카네기
carnegieite 카네기아이트
carnes 칸즈
carnesville 카너즈빌
carnesville 칸즈빌
carney 카니
carnitine 카르니틴
carnival 카니발
carnivore 카니보어
carnosine 카르노신
carnot 카르노
carnotite 카노타이트
caro 카로
caroga 캐로가
carol 캐럴
carolina 카롤리나
caroline 카롤린
caroline 캐럴라인
caroline 캐롤라인
carothers 캐러더스
carotin 카로틴
carotinase 카로티나아제
carotinoid 카로티노이드
carp 카프
carpaccio 카르파초
carpathian 카르파티아
carpato 카르파토
carpeaux 카르포
carpentaria 카펀테리아
carpenter 카펜터
carpentersville 카펜터즈빌
carpentier 카르펜티에르
carpet 카펫
carpholite 카폴라이트
carpinello 카피넬로
carpini 카르피니
carpinteria 카핀테리아
carport 카포트
carr 카
carrabelle 카라벨
carrabelle 캐러벨
carracci 카라치
carranza 카란사
carraway 캐러웨이
carrboro 칼버러
carrel 카렐
carrhae 카레
carrickfergus 캐릭퍼거스
carrier 캐리어
carriere 카리에르
carrington 캐링턴
carroll 캐럴
carroll 캐롤
carrollton 캐럴턴
carrollton 캐롤튼
carrollwood 캐럴우드
carrot 캐럿
carrothers 캐로서스
carrsville 카스빌
carry 캐리
carson 카슨
carswell 카스웰
cart 카트
cartan 카르탕
carter 카터
cartersville 카터스빌
cartersville 카터즈빌
carterville 카터빌
carthage 카르타고
carthage 카시지
carthage 카티지
carthagena 카사지나
carthago 카르타고
carthamin 카르타민
cartier 카르티에
cartogram 카토그램
carton 카르통
carton 카턴
cartoon 카툰
cartridge 카트리지
cartwright 카트라이트
carus 카루스
caruso 카루소
carvacrol 카르바크롤
carvalho 커발로
carver 카버
carvers 카버스
carving 카빙
carvone 카르본
carwardine 카워딘
cary 캐리
cary 케리
caryatid 카리아티드
caryville 케리빌
casa 카사
casablanca 카사블랑카
casadesus 카자드쥐
casals 카살스
casanova 카사노바
cascade 캐스케이드
cascadia 캐스캐디아
cascilla 카실리아
casco 캐스코
case 케이스
casein 카세인
casella 카셀라
casemate 케이스메이트
caseville 케이스빌
casework 케이스워크
caseworker 케이스워커
casey 케이시
caseyville 케이시빌
cash 캐시
cashback 캐시백
cashbag 캐쉬백
cashew 캐슈
cashion 캐쉬언
cashmere 캐시미어
cashmilon 캐시밀론
casing 케이싱
casinghead 케이싱헤드
casino 카지노
casmalia 캐스말리아
casona 카소나
caspar 캐스파
casper 카스퍼
casper 캐스퍼
caspian 카스피
caspian 캐스피언
caspie 카스피
cass 카스
cass 캐스
cassadaga 카사다가
cassai 카사이
cassandra 커샌드라
cassandre 카상드르
cassatt 카사트
cassava 카사바
cassel 카셀
cassel 캐슬
casselberry 카셀베리
cassella 카셀라
casselton 카셀턴
casserole 캐서롤
cassette 카세트
cassettetape 카세트테이프
cassian 캐시안
cassiar 캐시어
cassin 카생
cassini 카시니
cassiodorus 카시오도루스
cassiopeia 카시오페이아
cassirer 카시러
cassoday 캐서데이
cassville 캐스빌
cast 캐스트
castagno 카스타뇨
castaic 캐스테익
castana 카스타나
castanet 캐스터넷
castanets 캐스터네츠
castanin 카스타닌
caste 카스트
castell 캐스텔
castella 카스텔라
castelli 카스텔리
caster 캐스터
castiglione 카스틸리오네
castile 캐스타일
castine 캐스틴
casting 캐스팅
castle 캐슬
castleberry 캐슬베리
castleford 캐슬퍼드
castlegar 캐슬가
castlepoint 캐슬포인트
castlereagh 캐슬레이
castleton 캐슬턴
castlewood 캐슬우드
castor 카스토르
castries 캐스트리스
castro 카스트로
castro 캐스트로
castroville 캐스트로빌
casual 캐주얼
casville 캐스빌
caswell 캐스웰
cat 캐트
cat 캣
cataldo 카탈도
catalog 카다록
catalog 카탈로그
catalonia 카탈로니아
catana 카타나
catania 카타니아
cataplexy 캐터플렉시
catapult 캐터펄트
cataract 캐터랙트
catarrh 카타르
catawba 카토바
catch 캐치
catcher 캐처
catcherboat 캐처보트
catchphrase 캐치프레이즈
cate 케이트
catechol 카테콜
catecholamine 카테콜아민
category 카테고리
catenary 커티너리
catenation 캐티네이션
caterpillar 캐터필러
cath 캐스
catharina 카타리나
catharine 캐서린
catharpin 카타르핀
cathay 캐세이
cather 캐더
catherine 캐서린
cathetometer 캐시토미터
cathexis 카섹시스
cathlamet 캐슬라메트
cathode 캐소드
catholic 가톨릭
catholic 카톨릭
catilina 카틸리나
catlett 캐틀렛
catlettsburg 캐틀레츠버그
catlettsburg 캐틀리츠버그
catlin 캐틀린
cato 카토
cato 케이토
caton 케이턴
catoosa 카투사
catoosa 커투사
catskill 캐츠킬
cattaro 카타로
cattell 커텔
cattleya 카틀레야
catton 캐턴
catulle 카튈
catullus 카툴루스
caucasus 코카서스
cauchy 코시
caulfield 클로필드
cauliflower 콜리플라워
caulking 코킹
caution 코션
cavaignac 카베냐크
cavalcanti 카발칸티
cavalier 카발리에
cavalieri 카발리에리
cave 케이브
cavendish 캐번디시
cavetown 케이브타운
caviar 캐비어
caviezel 커비즐
cavitation 캐비테이션
cavour 카보우르
cawnpore 콘포르
caydee 케이디
cayenne 카옌
cayenne 카이엔
cayes 카이
cayley 케일리
cayman 케이만
cayman 케이맨
cayuga 카유가
cayuta 케이유타
cazadero 카자데로
cazenovia 카제노비아
cazenovia 캐저노비아
cb 시비
cbr 시비아르
cc 시시
ccc 시시시
ccd 시시디
ccir 시시아이아르
ccu 시시유
ccv 시시브이
cd 시디
cde 시디이
cebit 세빗
cebolleta 세볼레타
cebu 세부
cecchetti 체케티
cecil 세실
cecile 세실
cecilia 세실리아
cecilton 세실턴
cecrops 케크롭스
cedar 시더
cedartown 시더타운
cedarville 시더빌
cefadroxil 세파드록실
cefamandole 세파만돌
cefazolin 세파졸린
cefoperazone 세포페라존
cefotaxime 세포탁심
ceftizoxime 세프티족심
ceftriaxone 세프트리악손
ceiling 실링
ceilometer 실로미터
cejudo 세후도
cele 셀리
celebes 셀레베스
celeriac 셀러리액
celeron 셀러론
celery 셀러리
celeste 설레스트
celeste 첼레스트
celina 셀리나
celine 셀린
celje 첼레
cell 셀
cellini 첼리니
cellist 첼리스트
cello 첼로
cellobiose 셀로비오스
cellophane 셀로판
celloyarn 셀로얀
cellular 셀룰러
cellulase 셀룰라아제
celluloid 셀룰로이드
cellulose 셀룰로오스
celo 셀로
celotex 셀로텍스
celsius 셀시우스
celski 셀스키
celsus 켈수스
celt 켈트
cemedine 세메다인
cement 시멘트
cementation 시멘테이션
cementite 시멘타이트
cennini 첸니니
cennino 첸니노
censorware 센서웨어
census 센서스
cent 센트
centaur 센토
centaurea 센타우레아
centauros 켄타우로스
centaurus 켄타우루스
centenary 센테너리
centennial 센터니얼
center 센터
centerfield 센터필드
centering 센터링
centerton 센터턴
centertown 센터타운
centerview 센터뷰
centerville 센터빌
centigram 센티그램
centiliter 센티리터
centime 상팀
centimeter 센티미터
cento 센토
centrahoma 센트럴호머
central 센트럴
centralhatchee 센트럴해치
centralia 센트레일리아
centre 센터
centreville 센터빌
centreville 센트레빌
centrino 센트리노
centroid 센트로이드
centuria 센추리아
century 센추리
cep 셉
cephalexin 세팔렉신
cephalin 세팔린
cephalosporin 세팔로스포린
cepheus 케페우스
cephradine 세프라딘
ceramics 세라믹
cerargyrite 세라르지라이트
ceratosaurus 케라토사우루스
cercaria 세르카리아
cercomonas 세르코모나스
cereal 시리얼
ceredo 세레도
ceremony 세레모니
ceres 세레스
ceres 케레스
cereus 세레우스
cerium 세륨
cermet 서멧
cern 세른
cerritos 세리토스
cerro 세로
cerrogordo 케로고도
cerulean 세룰리언
cerussite 세루사이트
cesalpino 체살피노
cesarotti 체사로티
cesium 세슘
cetane 세탄
cetene 세텐
cetinje 체티네
ceuta 세우타
ceylon 실론
cf 시에프
cgi 시지아이
cha 차
chabasite 차바사이트
chabot 섀벗
chabriel 샤브리엘
chabrier 샤브리에
chacahoula 차카훌라
chaco 차코
chad 차드
chad 채드
chadron 채드런
chadwick 채드윅
chaeroneia 카이로네이아
chafee 체이피
chaff 채프
chaffee 채피
chaffey 채피
chaghatai 차가타이
chain 체인
chaires 체어스
chakhar 차하르
chalaza 컬레이저
chalcogen 칼코겐
chalcone 캘콘
chaldea 칼데아
chalfant 칼판트
chalk 초크
challenge 챌린지
challenger 챌린저
challis 샬리
chalmers 차머스
chalmers 찰머스
chalmette 섈멧
chalybeate 챌리비트
chama 차마
chamaeleon 카멜레온
chaman 차만
chamberlain 체임벌린
chamberlin 체임벌린
chambers 체임버스
chambersburg 체임버즈버그
chamblee 섐블리
chamblee 챔블리
chameleon 카멜레온
chamois 섀미
champa 참파
champagne 샴페인
champaign 샴페인
champaign 섐페인
champfleury 샹플뢰리
champion 챔피언
champlain 샹플랭
champlain 섐플레인
champlain 챔플레인
champlin 챔플린
champollion 샹폴리옹
chamson 샹송
chan 챈
chance 찬스
chancellor 챈슬러
chancellorsville 챈슬러스빌
chandelier 샨데리아
chandelier 샹들리에
chandler 챈들러
chandragupta 찬드라굽타
chanel 샤넬
change 체인지
changeover 체인지오버
chanhassen 챈허슨
channel 샤넬
channel 채널
channing 채닝
chant 찬트
chantal 섄탈
chantelle 샨텔
chanute 채누트
chapel 채플
chapin 채핀
chaplin 채플린
chapman 채프먼
chappaquiddick 채퍼퀴딕
chappe 샤프
chappell 채펠
char 샤르
character 캐릭터
characterization 캐릭터라이제이션
charcot 샤르코
chardin 샤르댕
chardon 차든
chardonne 샤르돈
chardonnet 샤르도네
charge 차지
charging 차징
chariot 채리엇
charisma 카리스마
charites 카리테스
charity 채리티
charlemagne 샤를마뉴
charlene 샬린
charles 샤를
charles 찰스
charlesburg 찰스버그
charleston 찰스턴
charlestown 찰스타운
charlevoix 샤를부아
charlie 찰리
charlotte 샤를로테
charlotte 샬럿
charlotte 샬롯
charlottesville 샬럿스빌
charlottesville 샬롯스빌
charlottetown 샬럿타운
charlton 찰턴
charm 참
charmian 차미언
charming 차밍
charon 카론
charpentier 샤르팡티에
charron 샤롱
chart 차트
chartier 샤르티에
chartism 차티즘
chartist 차티스트
chase 체이스
chaska 채스카
chason 체이슨
chassis 섀시
chastain 채스테인
chastan 샤스탕
chateaugay 초토게이
chatfield 챗필드
chatham 채샘
chatham 채텀
chatsworth 채츠워스
chattahoochee 채터후치
chattanooga 채터누가
chatterjee 차터지
chatterton 채터턴
chatting 채팅
chattooga 처투가
chaucer 초서
chauncey 천시
chauncey 촌시
chausson 쇼송
chautauqua 셔터쿼
chautemps 쇼탕
chauvinism 쇼비니즘
chavannes 샤반
chazelle 셔젤
chazy 샤지
cheap 치프
cheatham 치텀
cheatley 치틀리
cheboygan 쉬보이간
check 체크
check 첵
checker 체커
cheektowaga 칙토와가
cheese 치즈
cheetah 치타
chehalis 치핼리스
cheiron 케이론
chelan 첼랜
chelate 킬레이트
chellsie 첼시
chelmsford 첼름스퍼드
chelometry 킬로미트리
chelsea 첼시
cheltenham 첼튼햄
chelyabinsk 첼랴빈스크
chemical 케미컬
chemostat 케모스타트
chen 천
chenal 체널
chenango 체난고
chenault 셔놀트
cheney 체니
cheneyville 체니빌
chennault 셔놀트
chenoa 셰노아
chenoweth 체노웨스
cheong 청
cheopis 케오피스
cheraw 체로
cherie 셰리
cherimoya 체리모야
chermny 체름니
cherokee 체로키
cherry 체리
cherryfield 체리필드
cherryvale 체리베일
cherryville 체리빌
cherski 체르스키
chert 처트
chertoff 처토프
cheryl 셰릴
chesapeake 체서피크
cheshire 체셔
chess 체스
chessboard 체스보드
chester 체스터
chesterfield 체스터필드
chesterton 체스터턴
chestertown 체스터타운
chestervale 체스터베일
chesterville 체스터빌
chestnut 체스트넛
chestnutridge 체스트너트리지
cheswold 체스월드
chetek 체텍
chevalier 슈발리에
cheverly 체벌리
cheviot 셰비엇
cheviot 체비엇
chevrolet 쉐보레
chevrolet 시보레
cheyenne 샤이엔
chiacchia 치액치아
chicago 시카고
chichester 치체스터
chickamauga 치카마우가
chickamauga 치커모가
chickasaw 치카소
chickasaw 치커소
chickasha 치카샤
chicken 치킨
chicle 치클
chico 치코
chicopee 치커피
chicory 치커리
chicoutimi 시쿠티미
chiefland 치프랜드
chiffon 시폰
chihuahua 치와와
chihuahua 치후아후
child 차일드
childersburg 칠더스버그
childress 차일드리스
childress 칠드러스
childs 차일즈
chile 칠레
chili 차일라이
chili 칠리
chill 칠
chillicothe 칠리코시
chilliwack 칠리왝
chilmark 칠마크
chilton 칠턴
chilwa 칠와
chimacum 치마컴
chimaera 키마이라
chimborazo 침보라소
chime 차임
chimera 키메라
chimerism 키메리즘
chimes 차임스
chimpanzee 침팬지
china 차이나
china 키나
chinandega 치난데가
chinanet 차이나넷
chinatown 차이나타운
chinchilla 친칠라
chincom 친콤
chincoteague 친커티그
chinese 차이니즈
chingola 칭골라
chino 치노
chinook 치누크
chios 키오스
chip 칩
chipboard 칩보드
chipman 치프먼
chipola 치폴라
chippendale 치펀데일
chippewa 칩페와
chipping 치핑
chips 칩스
chipset 칩셋
chiquimula 치키물라
chiriqui 치리키
chirlane 셜레인
chiron 키론
chisel 치즐
chisholm 치스홀름
chisholm 치점
chisinau 키시네프
chita 치타
chitin 키틴
chittenden 치헌던
chitwood 칫우드
chivington 치빙턴
chiwetel 추이텔
chladni 클라드니
chlamydia 클라미디아
chlamydomonas 클라미도모나스
chloe 클로에
chloral 클로랄
chloralase 클로랄라아제
chloramine 클로라민
chloramphenicol 클로람페니콜
chloranil 클로라닐
chlordane 클로르데인
chlordiazepoxide 클로르디아제폭시드
chlorella 클로렐라
chloride 클로라이드
chlorination 클로리네이션
chloritoid 클로리토이드
chloroacetone 클로로아세톤
chlorobenzen 클로로벤젠
chlorobutadiene 클로로부타디엔
chlorocruorin 클로로크루오린
chlorodyne 클로로다인
chloroethane 클로로에탄
chloroform 클로로포름
chlorohydrin 클로로히드린
chloromethane 클로로메탄
chloronaphthalene 클로로나프탈렌
chlorophylase 클로로필라아제
chlorophyll 클로로필
chlorophyllin 클로로필린
chloropicrin 클로로피크린
chloroprene 클로로프렌
chloroquine 클로로퀸
chlorosis 클로로시스
chlorotetracycline 클로로테트라시클린
chlorothiazide 클로로티아지드
chlorothionite 클로로티오나이트
chlorothymol 클로로티몰
chloroxiphite 클로록시파이트
chlorpromazine 클로르프로마진
chlortetracycline 클로르테트라시클린
chocker 초커
chockie 초키
chocolate 초콜릿
chocolatero 초콜라테로
chocowinity 초코위니티
choctaw 촉토
choir 콰이어
choise 초이스
choiseul 슈아죌
choke 초크
chola 촐라
cholame 촐라메
cholecystokinin 콜레키스토키닌
cholera 콜레라
cholesteric 콜레스테릭
cholesterol 콜레스테롤
choline 콜린
choluteca 촐루테카
chomsky 촘스키
chondriosome 콘드리오솜
chondrite 콘드라이트
chondrodite 콘드로다이트
chondromyces 콘드로마이세스
chontales 촌탈레스
chop 촙
chopin 쇼팽
chopin 초핀
chopper 초퍼
chorale 코랄
chord 코드
choreographer 코레오그래퍼
chorus 코러스
chossudovsky 초수도프스키
choteau 쇼토
choteau 초토
chouteau 쇼토
chouteau 초토
chowchilla 차우칠라
chowder 차우더
chris 크리스
chrisman 크리스맨
chrisman 크리스먼
chrisney 크리즈니
christa 크리스타
christchurch 크라이스트처치
christchurch 크라이스트쳐치
christenson 크리스턴슨
christian 크리스찬
christian 크리스천
christian 크리스티앙
christiana 크리스티아나
christiania 크리스티아니아
christiansburg 크리스찬스버그
christiansburg 크리스천스버그
christie 크리스티
christina 크리스티나
christine 크리스틴
christmas 크리스마스
christophe 크리스토프
christopher 크리스토퍼
christophorus 크리스토포루스
chromatic 크로매틱
chromatin 크로마틴
chromatogram 크로마토그램
chromatograph 크로마토그래프
chromatography 크로마토그래피
chromatron 크로마트론
chrome 크롬
chromecast 크롬캐스트
chromium 크로뮴
chromo 크로모
chromomycin 크로모마이신
chronaxie 크로낙시
chronograph 크로노그래프
chronometer 크로노미터
chronometry 크로노메트리
chronoscope 크로노스코프
chrysippos 크리시포스
chrysostomus 크리소스토무스
chu 추
chua 추아
chubbuck 처벅
chuck 척
chuckery 처커리
chuckey 처키
chuka 추카
chula 출라
chunky 청키
church 처치
churchill 처칠
churchland 처치랜드
churubusco 츄러버스코
chvojka 크보이카
chymosin 키모신
chymotrypsin 키모트립신
chymotrypsinogen 키모트립시노겐
cia 시아이에이
ciano 치아노
cicero 시서로
cicero 시세로
cicero 키케로
cider 사이다
cif 시아이에프
cigar 시가
cilicia 길리기아
cilicia 실리시아
cimabue 치마부에
cimarosa 치마로사
cimarron 시머론
cimic 시믹
cimolite 시몰라이트
cincinnati 신시내티
cincinnatus 신시내터스
cinderella 신데렐라
cindy 신디
cinebar 사인바
cinecamera 시네카메라
cinema 시네마
cinemacolor 시네마컬러
cinematograph 시네마토그래프
cinepak 시네팩
cinerama 시네라마
cineraria 시네라리아
cinesco 시네스코
cink 싱크
cinnamon 시나몬
cio 시아이오
cios 시오스
cip 시아이피
cipollone 시펄론
ciq 시아이큐
circarama 서커라마
circe 키르케
circle 서클
circleville 서클빌
circuit 서킷
circular 서큘러
circus 서커스
cis 독립국가연합
cisapride 시사프라이드
cisco 시스코
cishek 시셱
cisplatin 시스플라틴
citlaltepetl 시틀랄테페틀
citral 시트랄
citron 시트론
citronelle 시트러넬
citronelle 시트로넬
citronellol 시트로넬롤
citrulline 시트룰린
city 시티
city 씨티
civex 시벡스
cladding 클래딩
cladosporium 클라도스포륨
claes 클라스
claiborne 클레이번
claiborne 클레이본
claibourne 클레이본
claim 클레임
clair 클레르
clairaut 클레로
clairemont 클레어몬트
clamp 클램프
clancy 클랜시
clanton 클랜턴
clapeyron 클라페롱
clapper 클래퍼
clapperboard 클래퍼보드
clara 클라라
clarain 클라레인
clare 클레어
claremont 클레어몬트
claremore 클레어모어
clarence 클래런스
clarendon 클라렌든
clarendon 클래런던
claribel 클레리벨
clarinda 클라린다
clarinet 클라리넷
clarion 클라리온
clarionet 클라리오넷
clarissa 클래리사
clarita 클래리타
clark 클라크
clark 클락
clarke 클라크
clarkesville 클라케스빌
clarkesville 클라크스빌
clarkfield 클라크필드
clarkia 클라키아
clarking 클라킹
clarksburg 클라크스버그
clarksdale 클라크스데일
clarksfield 클락스필드
clarkson 클라크슨
clarkson 클락슨
clarkston 클라크스턴
clarksville 클라크스빌
clarno 클라노
clary 클레어리
class 클라스
class 클래스
classic 클래식
claude 클로드
claudel 클로델
claudette 클로뎃
claudianus 클라우디아누스
claudius 클라우디우스
claudville 클라우드빌
claus 클라우스
clausewitz 클라우제비츠
clausius 클라우지우스
clavichord 클라비코드
clavijo 클라비호
clawson 클로슨
claxton 클랙스턴
clay 클레이
clayton 클레이턴
clayton 클레이튼
clean 클린
cleaner 클리너
cleaning 클리닝
cleansing 클렌징
cleanthes 클레안테스
cleanup 클린업
clear 클리어
clearance 클리어런스
clearbrook 클리어브룩
clearfield 클리어필드
clearlake 클리어레이크
clearview 클리어뷰
clearwater 클리어워터
cleat 클리트
cleaver 클리버
cleburne 클리번
cleek 클리크
cleft 클레프트
clegg 클레그
clemenceau 클레망소
clemens 클레먼스
clemens 클레멘스
clement 클레먼트
clements 클레먼츠
clements 클레멘츠
clemons 클레먼스
clemson 클렘슨
clenbuterol 클렌부테롤
cleomenes 클레오메네스
cleone 클레온
cleopatra 클레오파트라
cleora 클레오라
clepsydra 클렙시드라
clermont 클러몬트
clermont 클레몬트
cleve 클레베
cleveland 클리브랜드
cleveland 클리블랜드
clever 클레버
cleves 클리브스
clewiston 클루이스턴
click 클릭
client 클라이언트
clientes 클리엔테스
clifden 클리프덴
cliff 클리프턴
clifford 클리퍼드
clifford 클리포드
clifton 클리프턴
clifty 클리프티
climax 클라이맥스
climbing 클라이밍
climograph 클라이모그래프
clinch 클린치
clindamycin 클린다마이신
clinic 클리닉
clinker 클링커
clinometer 클리노미터
clint 클린트
clinton 클린턴
clintonville 클린턴빌
clintwood 클린트우드
clio 클리오
clip 클립
clipart 클립아트
clipboard 클립보드
clipper 클리퍼
clipperton 클리퍼턴
clipping 클리핑
clitherall 클라이서럴
clitoris 클리토리스
clive 클라이브
clodius 클로디우스
clomiphene 클로미펜
clonazepam 클로나제팜
cloncurry 클론커리
clone 클론
clonidine 클로니딘
cloning 클로닝
clooney 클루니
cloquet 클로켓
close 클로스
cloth 클로스
clothier 클로시어
clothoid 클로소이드
clotrimazole 클로트리마졸
cloud 클라우드
cloudland 클라우드랜드
cloudland 클라우들랜드
cloudy 클라우디
clouet 클루에
cloutierville 클라우티어빌
clouzot 클루조
clover 클로버
cloverdale 클로버데일
cloverland 클로버랜드
cloverleaf 클로버리프
clovis 클로비스
clow 클로우
club 클럽
clubb 클럽
clurman 클러먼
cluster 클러스터
clutch 클러치
clute 클루트
clutier 클러티어
clutter 클러터
clwyd 클루이드
clyde 클라이드
clyman 클라이먼
clymer 클라이머
clymers 클라이머스
clyo 클라이요
clyo 클리오
clytaemnestra 클리타임네스트라
cmc 시엠시
cmea 시엠이에이
cmos 시모스
cnd 시엔디
cnidos 크니도스
cnn 시엔엔
cnossos 크노소스
cnut 크누트
coacervate 코아세르베이트
coacervation 코아세르베이션
coach 코치
coachella 코첼라
coahoma 코호마
coalbrookdale 콜브룩데일
coalburg 콜버그
coalgate 콜게이트
coaling 콜링
coalinga 콜링가
coalite 콜라이트
coalmont 콜몬트
coalton 콜턴
coalville 콜빌
coalwood 콜우드
coarsegold 코어스골드
coast 코스트
coat 코트
coates 코티스
coatesville 코츠빌
coating 코팅
coats 코츠
coaxing 콕싱
cobalt 코발트
cobar 코바
cobb 코브
cobbett 코빗
cobbtown 코브타운
cobden 코브던
cobden 코브든
coble 코블
cobleskill 코블스킬
cobol 코볼
cobra 코브라
coburg 코버그
coburn 코번
coby 코비
coca 코카
cocaine 코카인
coccidium 콕시듐
cochin 코친
cochineal 코치닐
cochise 코치스
cochran 코크런
cochrane 코크런
cock 콕
cockburn 코번
cockcroft 콕크로프트
cocke 코크
cocks 콕스
cocktail 칵테일
cocoa 코코아
cocodrie 코코드리
cocolith 코콜리스
cocom 코콤
coconut 코코넛
cocos 코코스
cocteau 콕토
cod 시오디
cod 코드
coddington 코딩턴
code 코드
codec 코덱
codeine 코데인
coden 코덴
coder 코더
codex 코덱스
coding 코딩
codon 코돈
cody 코디
coe 코
coelacanth 실러캔스
coelho 쿠엘료
coelostat 실로스탯
coentro 코엔트로
coesite 코자이트
coesse 코이스
coeur 쾨르
coex 코엑스
coffee 커피
coffeen 커핀
coffeen 코핀
coffeepot 커피포트
coffeeville 커피빌
coffey 코피
coffeyville 커피빌
coffman 코프먼
cogar 코가
cogdell 코그덜
coghlan 코글런
coghlan 콜런
cohan 코핸
cohasset 코하셋
cohen 코엔
coherent 코히런트
coherer 코히러
cohn 콘
cohort 코호트
cohutta 코허타
coil 코일
coila 코일라
coin 코인
coining 코이닝
coira 코이라
coire 쿠아르
cokato 코카토
coke 쿡
cokeite 코카이트
coker 코커
cokes 코크스
cokesbury 코크스베리
coketown 코크타운
col 콜
cola 콜라
colbert 콜버트
colbert 콜베르
colbert 콜베어
colburn 콜번
colby 콜비
colchester 콜체스터
colchicine 콜히친
colcord 콜코드
colden 콜든
coldspring 콜드스프링
coldwater 콜드워터
cole 콜
colebrook 콜브룩
coleharbor 콜하버
coleman 콜맨
coleman 콜먼
colerain 콜레인
coleraine 콜러레인
coleraine 콜레인
coleridge 콜리지
coles 콜스
colesburg 콜스버그
colesville 콜스빌
colette 콜레트
coleus 콜레우스
coleville 콜빌
colfax 콜팩스
colfer 콜퍼
colgate 콜게이트
colicin 콜리신
coligny 콜리니
colin 콜린
colistin 콜리스틴
collaboration 컬래버레이션
collaboration 콜라보레이션
collagen 콜라겐
collamer 콜라머
collar 카라
collar 칼라
collarless 칼라리스
collection 컬렉션
collection 콜렉션
collector 컬렉터
colleen 콜린
college 칼리지
collegedale 칼리지데일
collenette 콜넷
coller 칼라
collett 콜레트
colleyville 콜리빌
collie 콜리
collier 콜리어
colliers 콜리어스
collierville 콜리어빌
collierville 콜리에빌
collimator 콜리메이터
collin 콜린
collingsworth 콜링즈워스
collingwood 콜링우드
collins 콜린스
collinsville 콜린스빌
collinsville 콜린즈빌
collinwood 콜린우드
collison 콜리슨
collista 콜리스타
collodi 콜로디
collodion 콜로디온
colloid 콜로이드
collophanite 콜로파나이트
colloquium 컬로퀴엄
collotype 콜로타이프
collyer 콜리어
colma 콜마
colman 콜먼
colmar 콜마
colo 콜로
colobus 콜로부스
cologne 콜롱
coloma 콜로마
colombia 콜롬비아
colombo 콜롬보
colome 콜롬
colon 콜론
colona 콜로나
colonia 콜로니아
colonnade 콜로네이드
colony 콜로니
colophonium 콜로포늄
color 칼라
color 컬러
colora 콜로라
colorado 콜로라도
colorful 컬러풀
colorist 컬러리스트
colossae 골로새
colp 콜프
colposcope 콜포스코프
colquitt 콜큇
colquitt 콜킷
colson 콜슨
colstrip 콜스트립
colt 콜트
colton 콜턴
coltrane 콜트레인
colugo 콜루고
columba 컬럼바
columbia 컬럼비아
columbiana 컬럼비아나
columbine 콜럼바인
columbite 컬럼바이트
columbium 콜럼븀
columbo 콜럼보
columbus 컬럼버스
columbus 콜럼버스
columbus 콜롬버스
column 칼럼
columnist 칼럼니스트
colusa 콜루사
colville 콜빌
colwell 콜웰
coma 코마
comal 코몰
comanche 커맨치
comanche 코만치
comayagua 코마야과
comber 코머
combes 콤스
combes 쿰스
combination 콤비네이션
combine 컴바인
combine 콤바인
combiner 컴바이너
combing 코밍
combo 캄보
combs 콤스
comdex 컴덱스
come 컴
comeback 컴백
comecon 코메콘
comedian 코미디언
comedy 코메디
comedy 코미디
comenius 코메니우스
comer 커머
comertown 코머타운
comex 코멕스
comey 코미
comfort 컴포트
comfrey 컴프리
comfrey 콤프리
comic 코믹
comics 코믹스
cominform 코민포름
comint 코민트
comintern 코민테른
comisco 코미스코
comma 콤마
command 커맨드
comment 코멘트
commerce 커머스
commerce 코머스
commercial 커머셜
commission 커미션
